{name=爱知, url=/aichi}
{name=布宜诺斯艾利斯, url=/buenosaires}
{name=文莱, url=/brunei}
{name=白沙, url=/baisha}
{name=保亭, url=/baoting}
{name=霸州市, url=/bazhou}
{name=清苑区, url=/bdqingyuan}
{name=易县, url=/bdyixian}
{name=博野县, url=/boye}
{name=泊头市, url=/botou}
{name=柏乡县, url=/boxiang}
{name=保德县, url=/baode}
{name=北票市, url=/beipiao}
{name=本溪满族自治县, url=/benxixian}
{name=北镇市, url=/beining}
{name=宾县, url=/binxian}
{name=巴彦县, url=/bayan}
{name=勃利县, url=/boli}
{name=拜泉县, url=/baiquan}
{name=北安市, url=/beian}
{name=宝清县, url=/baoqing}
{name=滨海县, url=/binhai}
{name=宝应县, url=/baoying}
{name=博兴县, url=/boxing}
{name=博爱县, url=/boai}
{name=宝丰县, url=/baofeng}
{name=保康县, url=/baokang}
{name=巴东县, url=/badong}
{name=保靖县, url=/baojing}
{name=博罗县, url=/boluo}
{name=宾阳县, url=/binyang}
{name=北流市, url=/beiliu}
{name=博白县, url=/bobai}
{name=巴马瑶族自治县, url=/bama}
{name=北川羌族自治县, url=/beichuan}
{name=宝兴县, url=/baoxing}
{name=白玉县, url=/baiyu}
{name=巴塘县, url=/batang}
{name=布拖县, url=/butuo}
{name=七星关区, url=/bijie}
{name=宾川县, url=/binchuan}
{name=比如县, url=/biru}
{name=班戈县, url=/bange}
{name=巴青县, url=/baqing}
{name=八宿县, url=/basu}
{name=边坝县, url=/bianba}
{name=波密县, url=/bomi}
{name=白朗县, url=/bailang}
{name=白水县, url=/baishui}
{name=彬县, url=/binxianshi}
{name=眉县, url=/bjmeixian}
{name=白河县, url=/baihe}
{name=班玛县, url=/banma}
{name=巴楚县, url=/bachu}
{name=拜城县, url=/baichengxian}
{name=巴里坤哈萨克自治县, url=/balikun}
{name=博乐市, url=/bole}
{name=博湖县, url=/bohu}
{name=布尔津县, url=/buerjin}
{name=璧山区, url=/bishan}
{name=巴州区, url=/bazhouqu}
{name=巴林左旗, url=/bazuoqi}
{name=巴林右旗, url=/bayouqi}
{name=博山, url=/boshan}
{name=成都, url=/chengdu}
{name=重庆, url=/chongqing}
{name=长沙, url=/changsha}
{name=长春, url=/changchun}
{name=嘉义, url=/chiayi}
{name=千叶, url=/chiba}
{name=中非, url=/centralafrica}
{name=乍得, url=/chad}
{name=佛得角, url=/capeverde}
{name=克罗地亚, url=/croatia}
{name=卡尔加里, url=/calgary}
{name=加拿大, url=/canada}
{name=加那利群岛, url=/canaryislands}
{name=加尔各答, url=/calcutta}
{name=金奈, url=/chennai}
{name=古巴, url=/cuba}
{name=哥伦比亚, url=/colombia}
{name=喀麦隆, url=/cameroon}
{name=卡帕多奇亚, url=/cappadocia}
{name=恰纳卡莱, url=/canakkale}
{name=塞浦路斯, url=/cyprus}
{name=库克群岛, url=/cookislands}
{name=开曼群岛, url=/caymanislands}
{name=五渔村, url=/cinqueterre}
{name=科莫, url=/como}
{name=卡普里岛, url=/capri}
{name=卡塔尼亚, url=/catania}
{name=捷克, url=/czech}
{name=捷克克鲁姆洛夫, url=/ceskykrumlov}
{name=智利, url=/chile}
{name=卡昂, url=/caen}
{name=蔚蓝海岸, url=/cotedazur}
{name=科尔马, url=/colmar}
{name=霞慕尼, url=/chamonix}
{name=卡尔卡松, url=/carcassonne}
{name=春蓬, url=/chumphon}
{name=科摩罗, url=/comoros}
{name=科特迪瓦, url=/cotedivoire}
{name=康科德, url=/concord}
{name=哥伦布, url=/columbus}
{name=查尔斯顿, url=/charleston}
{name=夏延, url=/cheyenne}
{name=卡梅尔, url=/carmel}
{name=克利夫兰, url=/cleveland}
{name=辛辛那提, url=/cincinnati}
{name=夏洛特, url=/charlotte}
{name=加迪夫, url=/cardiff}
{name=考文垂, url=/coventry}
{name=切斯特, url=/chester}
{name=坎特伯雷, url=/canterbury}
{name=卡斯凯什, url=/cascais}
{name=卡斯蒂利亚-拉曼恰, url=/castilelamancha}
{name=卡斯蒂利亚-莱昂, url=/castileleon}
{name=科尔多瓦, url=/cordoba}
{name=卡森城, url=/carsoncity}
{name=长寿区, url=/changshou}
{name=常州, url=/changzhou}
{name=承德, url=/chengde}
{name=沧州, url=/cangzhou}
{name=滁州, url=/chuzhou}
{name=常德, url=/changde}
{name=潮州, url=/chaozhou}
{name=巢湖, url=/chaohu}
{name=赤峰, url=/chifeng}
{name=长治, url=/changzhi}
{name=池州, url=/chizhou}
{name=郴州, url=/chenzhou}
{name=昌吉州, url=/changjizhou}
{name=朝阳, url=/chaoyang}
{name=崇左, url=/chongzuo}
{name=楚雄州, url=/chuxiongzhou}
{name=昌都市, url=/changdudiqu}
{name=常熟, url=/changshu}
{name=慈溪, url=/cixi}
{name=苍南, url=/cangnan}
{name=长乐, url=/changle}
{name=长白山, url=/changbaishan}
{name=清迈, url=/chiangmai}
{name=清莱, url=/chiangrai}
{name=冲绳, url=/okinawa}
{name=哥本哈根, url=/copenhagen}
{name=长滩岛, url=/boracay}
{name=宿雾, url=/cebu}
{name=柬埔寨, url=/cambodia}
{name=堪培拉, url=/canberra}
{name=凯恩斯, url=/cairns}
{name=基督城, url=/christchurch}
{name=戛纳, url=/cannes}
{name=芝加哥, url=/chicago}
{name=科隆, url=/cologne}
{name=克里特, url=/creteisland}
{name=剑桥, url=/cambridge}
{name=开罗, url=/cairo}
{name=卡萨布兰卡, url=/casablanca}
{name=开普敦, url=/capetown}
{name=坎坤, url=/cancun}
{name=库斯科, url=/cuzco}
{name=哥斯达黎加, url=/costarica}
{name=昌江, url=/changjiang}
{name=澄迈县, url=/chengmai}
{name=长海县, url=/changhai}
{name=赤城县, url=/chicheng}
{name=崇礼县, url=/chongli}
{name=承德县, url=/chengdexian}
{name=昌黎县, url=/cangli}
{name=沧县, url=/cangxian}
{name=成安县, url=/chengan}
{name=磁县, url=/cixian}
{name=长治县, url=/changzhixian}
{name=长子县, url=/changzi}
{name=朝阳县, url=/chaoyangxian}
{name=昌图县, url=/cangtu}
{name=长岭县, url=/changling}
{name=长白朝鲜族自治县, url=/chengbai}
{name=淳安县, url=/chunan}
{name=长兴县, url=/changxing}
{name=常山县, url=/changshan}
{name=长丰县, url=/changfeng}
{name=长汀县, url=/changting}
{name=崇义县, url=/chongyi}
{name=崇仁县, url=/chongren}
{name=茌平县, url=/chiping}
{name=昌邑市, url=/cangyi}
{name=昌乐县, url=/cangle}
{name=长岛县, url=/changdao}
{name=苍山县, url=/cangshan}
{name=曹县, url=/caoxian}
{name=成武县, url=/chengwu}
{name=长垣县, url=/changyuan}
{name=长葛市, url=/changge}
{name=赤壁市, url=/chibi}
{name=崇阳县, url=/chongyang}
{name=长阳土家族自治县, url=/changyang}
{name=慈利县, url=/cili}
{name=澧县, url=/cdlixian}
{name=茶陵县, url=/chaling}
{name=常宁市, url=/changning}
{name=城步苗族自治县, url=/chengbu}
{name=辰溪县, url=/chenxi}
{name=潮安县, url=/chaoan}
{name=岑溪市, url=/cenxi}
{name=苍梧县, url=/cangwu}
{name=苍溪县, url=/cangxi}
{name=长宁县, url=/changningxian}
{name=赤水市, url=/chishui}
{name=岑巩县, url=/cengong}
{name=从江县, url=/congjian}
{name=长顺县, url=/changshun}
{name=册亨县, url=/ceheng}
{name=呈贡县, url=/chenggong}
{name=澄江县, url=/chengjian}
{name=昌宁县, url=/cangning}
{name=沧源佤族自治县, url=/changyuanxian}
{name=楚雄市, url=/chuxiong}
{name=卡若区, url=/changdu}
{name=察雅县, url=/chaya}
{name=察隅县, url=/chayu}
{name=措美县, url=/cuomei}
{name=错那县, url=/cuona}
{name=措勤县, url=/cuoqin}
{name=澄城县, url=/chengcheng}
{name=长武县, url=/changwu}
{name=淳化县, url=/chunhua}
{name=城固县, url=/chenggu}
{name=崇信县, url=/chongxin}
{name=成县, url=/chengxian}
{name=称多县, url=/chenduo}
{name=策勒县, url=/cele}
{name=昌吉市, url=/changji}
{name=察布查尔锡伯自治县, url=/chabuchaer}
{name=城口县, url=/chengkou}
{name=陈巴尔虎旗, url=/chenhuqi}
{name=新巴尔虎左旗, url=/chenhuzuoqi}
{name=新巴尔虎右旗, url=/chenhuyouqi}
{name=察哈尔右翼前旗, url=/chayouqianqi}
{name=察哈尔右翼中旗, url=/chayouzhongqi}
{name=察哈尔右翼后旗, url=/chayouhouqi}
{name=崇明县, url=/chongmingxian}
{name=潮阳, url=/chaoyangshantou}
{name=澄海, url=/chenghai}
{name=大连, url=/dalian}
{name=东莞, url=/dongguan}
{name=大邱, url=/daegu}
{name=杜马盖地, url=/dumaguete}
{name=岘港, url=/danang}
{name=丹麦, url=/denmark}
{name=杜布罗夫尼克, url=/dubrovnik}
{name=刚果民主共和国, url=/Democraticcongo}
{name=德里, url=/delhi}
{name=吉布提, url=/djibouti}
{name=多米尼克, url=/dominica}
{name=多米尼加共和国, url=/dominican}
{name=德累斯顿, url=/dresden}
{name=多特蒙德, url=/dortmund}
{name=杜伊斯堡, url=/duisburg}
{name=但尼丁, url=/dunedin}
{name=死海, url=/deadsea}
{name=底特律, url=/detroit}
{name=丹佛, url=/denver}
{name=多佛, url=/dover}
{name=得梅因, url=/desmoines}
{name=达拉斯, url=/dallas}
{name=代尔夫特, url=/delft}
{name=点评实验室, url=/dplab}
{name=大同, url=/datong}
{name=大庆, url=/daqing}
{name=东营, url=/dongying}
{name=丹东, url=/dandong}
{name=大理州, url=/dali}
{name=德州, url=/dezhou}
{name=迪庆, url=/diqing}
{name=德阳, url=/deyang}
{name=达州, url=/dazhou}
{name=大兴安岭, url=/daxinganling}
{name=德宏, url=/dehong}
{name=定西, url=/dingxi}
{name=东京, url=/tokyo}
{name=大阪, url=/osaka}
{name=迪拜, url=/dubai}
{name=大叻, url=/dalat}
{name=第戎, url=/dijon}
{name=大溪地, url=/tahiti}
{name=多伦多, url=/toronto}
{name=杜塞尔多夫, url=/dusseldorf}
{name=都灵, url=/turin}
{name=都柏林, url=/dublin}
{name=儋州, url=/danzhou}
{name=定安县, url=/dingan}
{name=东方, url=/dongfang}
{name=大城县, url=/dacheng}
{name=大厂回族自治县, url=/dachang}
{name=定州市, url=/dingzhou}
{name=定兴县, url=/dingxing}
{name=东光县, url=/dongguang}
{name=大名县, url=/daming}
{name=大同县, url=/datongxian}
{name=定襄县, url=/dingxiang}
{name=代县, url=/daixian}
{name=大宁县, url=/daning}
{name=磴口县, url=/dengkou}
{name=多伦县, url=/duolun}
{name=调兵山市, url=/diaobingshan}
{name=灯塔市, url=/dengta}
{name=东港市, url=/donggang}
{name=大石桥市, url=/dashiqiao}
{name=大洼县, url=/dawa}
{name=德惠市, url=/dehui}
{name=大安市, url=/daan}
{name=东丰县, url=/dongfeng}
{name=东辽县, url=/dongliao}
{name=敦化市, url=/dunhua}
{name=杜尔伯特蒙古族自治县, url=/duerbote}
{name=东宁县, url=/dongning}
{name=东海县, url=/donghai}
{name=东台市, url=/dongtai}
{name=大丰市, url=/dafeng}
{name=丹阳市, url=/danyang}
{name=德清县, url=/deqing}
{name=岱山县, url=/daishan}
{name=东阳, url=/dongyang}
{name=砀山县, url=/dangshan}
{name=定远县, url=/dingyuan}
{name=当涂县, url=/dangtou}
{name=东至县, url=/dongzhi}
{name=大田县, url=/datian}
{name=德化县, url=/dehua}
{name=德安县, url=/dean}
{name=都昌县, url=/ducang}
{name=大余县, url=/dayu}
{name=定南县, url=/dingnan}
{name=德兴市, url=/dexing}
{name=东乡县, url=/dongxiang}
{name=东阿县, url=/donga}
{name=东平县, url=/dongping}
{name=定陶县, url=/dingtao}
{name=单县, url=/danxian}
{name=东明县, url=/dongming}
{name=登封市, url=/dengfeng}
{name=邓州市, url=/dengzhou}
{name=郸城县, url=/dancheng}
{name=丹江口市, url=/danjiangkou}
{name=大悟县, url=/dawu}
{name=大冶市, url=/daye}
{name=当阳市, url=/dangyang}
{name=东安县, url=/dongan}
{name=道县, url=/daoxian}
{name=洞口县, url=/dongkou}
{name=东源县, url=/dongyuan}
{name=大埔县, url=/dapu}
{name=德庆县, url=/deqingxian}
{name=电白县, url=/dianbai}
{name=东兴市, url=/dongxing}
{name=大新县, url=/daxin}
{name=德保县, url=/debao}
{name=东兰县, url=/donglan}
{name=都安瑶族自治县, url=/duan}
{name=大化瑶族自治县, url=/dahua}
{name=都江堰市, url=/dujiangyan}
{name=大邑县, url=/dayi}
{name=大英县, url=/daying}
{name=大竹县, url=/dazhu}
{name=丹棱县, url=/danleng}
{name=丹巴县, url=/danba}
{name=道孚县, url=/daofu}
{name=德格县, url=/dege}
{name=稻城县, url=/daocheng}
{name=得荣县, url=/derong}
{name=德昌县, url=/decang}
{name=道真仡佬族苗族自治县, url=/daozhen}
{name=大方县, url=/dafang}
{name=德江县, url=/dejian}
{name=丹寨县, url=/danzhai}
{name=都匀市, url=/duyun}
{name=独山县, url=/dushan}
{name=大关县, url=/daguan}
{name=德钦县, url=/deqin}
{name=大姚县, url=/dayao}
{name=当雄县, url=/dangxiong}
{name=堆龙德庆县, url=/duilongdeqing}
{name=达孜县, url=/dazi}
{name=丁青县, url=/dingqing}
{name=定日县, url=/dingri}
{name=定结县, url=/dingjie}
{name=大荔县, url=/dalixian}
{name=定边县, url=/dingbian}
{name=丹凤县, url=/danfeng}
{name=敦煌市, url=/dunhuang}
{name=宕昌县, url=/dangcang}
{name=东乡族自治县, url=/dongxiangzu}
{name=迭部县, url=/diebu}
{name=大通回族土族自治县, url=/datongzzxian}
{name=达日县, url=/dari}
{name=德令哈市, url=/delingha}
{name=都兰县, url=/dulan}
{name=垫江县, url=/dianjian}
{name=大通区, url=/datongqu}
{name=达尔罕茂明安联合旗, url=/daerhanqi}
{name=达拉特旗, url=/dalateqi}
{name=东乌珠穆沁旗, url=/dongwuqinqi}
{name=大理市, url=/dalishi}
{name=斗门, url=/doumen}
{name=东帝汶, url=/easttimor}
{name=叶卡捷琳堡, url=/ekaterinburg}
{name=埃德蒙顿, url=/edmonton}
{name=厄瓜多尔, url=/ecuador}
{name=厄立特里亚, url=/eritrea}
{name=埃及, url=/egypt}
{name=埃森, url=/essen}
{name=依云, url=/evian}
{name=爱沙尼亚, url=/estonia}
{name=英格堡, url=/engelberg}
{name=埃因霍温, url=/eindhoven}
{name=萨尔瓦多, url=/elsalvador}
{name=赤道几内亚, url=/equatorialguine}
{name=鄂尔多斯, url=/eerduosi}
{name=恩施, url=/enshizhou}
{name=鄂州, url=/ezhou}
{name=爱丁堡, url=/edinburgh}
{name=埃塞俄比亚, url=/ethiopia}
{name=额尔古纳市, url=/eerguna}
{name=二连浩特市, url=/erlianhaote}
{name=恩施市, url=/enshi}
{name=恩平市, url=/enping}
{name=峨眉山市, url=/emeishan}
{name=峨边彝族自治县, url=/ebian}
{name=峨山彝族自治县, url=/eshan}
{name=洱源县, url=/eryuan}
{name=额敏县, url=/emin}
{name=鄂托克前旗, url=/eqianqi}
{name=鄂托克旗, url=/eqi}
{name=鄂伦春自治旗, url=/elunchunqi}
{name=鄂温克族自治旗, url=/ewenkeqi}
{name=额济纳旗, url=/ejinaqi}
{name=福州, url=/fuzhou}
{name=佛山, url=/foshan}
{name=费特希耶, url=/fethiye}
{name=伊瓜苏市, url=/fozdoiguacu}
{name=弗莱堡, url=/freiburg}
{name=菲斯, url=/fes}
{name=法属圭亚那, url=/frenchguiana}
{name=法属波利尼西亚, url=/frenchpolynesia}
{name=法罗群岛, url=/faroeislands}
{name=佛罗里达群岛, url=/floridakeys}
{name=芬兰, url=/finland}
{name=威廉堡, url=/fortwilliam}
{name=涪陵区, url=/fuling}
{name=抚顺, url=/fushun}
{name=阜新, url=/fuxin}
{name=阜阳, url=/fuyang}
{name=抚州, url=/jiangxifuzhou}
{name=防城港, url=/fangchenggang}
{name=奉化, url=/fenghua}
{name=福清, url=/fuqing}
{name=富阳区, url=/fuyangfy}
{name=福鼎, url=/fuding}
{name=富春江, url=/fuchunjiang}
{name=釜山, url=/busan}
{name=富士山, url=/fujisan}
{name=福冈, url=/fukuoka}
{name=斐济, url=/fiji}
{name=枫丹白露, url=/fontainebleau}
{name=法国, url=/france}
{name=法兰克福, url=/frankfurt}
{name=福森, url=/fussen}
{name=佛罗伦萨, url=/florence}
{name=丰宁满族自治县, url=/fengning}
{name=阜平县, url=/fuping}
{name=阜城县, url=/fucheng}
{name=肥乡县, url=/feixiang}
{name=繁峙县, url=/fanzhi}
{name=浮山县, url=/fushan}
{name=汾西县, url=/fenxi}
{name=汾阳市, url=/fengyang}
{name=方山县, url=/fangshan}
{name=丰镇市, url=/fengzhen}
{name=法库县, url=/fakun}
{name=阜新蒙古族自治县, url=/fuxinxian}
{name=清原满族自治县, url=/fsqingyuan}
{name=凤城市, url=/fengcheng}
{name=扶余市, url=/fuyu}
{name=抚松县, url=/fusong}
{name=富裕县, url=/fuyuxian}
{name=富锦市, url=/fujin}
{name=抚远县, url=/fuyuan}
{name=丰县, url=/fengxian}
{name=阜宁县, url=/funing}
{name=肥东县, url=/feidong}
{name=肥西县, url=/feixi}
{name=阜南县, url=/funan}
{name=凤台县, url=/fengtai}
{name=凤阳县, url=/fengyangxian}
{name=繁昌县, url=/fancang}
{name=福安市, url=/fuan}
{name=浮梁县, url=/fuliang}
{name=分宜县, url=/fenyi}
{name=丰城市, url=/fengchengshi}
{name=奉新县, url=/fengxin}
{name=费县, url=/feixian}
{name=肥城市, url=/feicheng}
{name=封丘县, url=/fengqiu}
{name=范县, url=/fanxian}
{name=方城县, url=/fangcheng}
{name=扶沟县, url=/fugou}
{name=房县, url=/fangxian}
{name=凤凰县, url=/fenghuang}
{name=佛冈县, url=/fogang}
{name=丰顺县, url=/fengshun}
{name=封开县, url=/fengkai}
{name=扶绥县, url=/fusui}
{name=凤山县, url=/fengshan}
{name=富川瑶族自治县, url=/fuchuan}
{name=富顺县, url=/fushunxian}
{name=凤冈县, url=/fenggang}
{name=福泉市, url=/fuquan}
{name=富民县, url=/fumin}
{name=富源县, url=/fuyuanxian}
{name=凤庆县, url=/fengqing}
{name=福贡县, url=/fugong}
{name=富县, url=/fuxian}
{name=富平县, url=/fupingxian}
{name=凤翔县, url=/fengxiang}
{name=扶风县, url=/fufeng}
{name=凤县, url=/fengxianxian}
{name=佛坪县, url=/fopin}
{name=府谷县, url=/fugu}
{name=阜康市, url=/fukang}
{name=富蕴县, url=/fuyun}
{name=福海县, url=/fuhai}
{name=丰都县, url=/fengdu}
{name=奉节县, url=/fengjie}
{name=广州, url=/guangzhou}
{name=贵阳, url=/guiyang}
{name=庆州, url=/gyeongju}
{name=岐阜, url=/gifu}
{name=关岛, url=/guam}
{name=冈比亚, url=/gambia}
{name=几内亚, url=/guinea}
{name=加纳, url=/ghana}
{name=加蓬, url=/gabon}
{name=危地马拉, url=/guatemala}
{name=格雷梅, url=/goreme}
{name=圭亚那, url=/guyana}
{name=格拉茨, url=/graz}
{name=希腊, url=/greece}
{name=德国, url=/germany}
{name=哥廷根, url=/goettingen}
{name=热那亚, url=/genoa}
{name=格雷茅斯, url=/greymouth}
{name=格林纳达, url=/grenada}
{name=格鲁吉亚, url=/georgia}
{name=根特, url=/ghent}
{name=格拉斯, url=/grasse}
{name=格勒诺布尔, url=/grenoble}
{name=吉朗, url=/geelong}
{name=高威, url=/galway}
{name=格林德瓦, url=/grindelwald}
{name=瓜德罗普, url=/guadeloupe}
{name=格拉斯哥, url=/glasgow}
{name=羊角村, url=/giethoorn}
{name=格罗宁根, url=/groningen}
{name=格拉纳达, url=/granada}
{name=桂林, url=/guilin}
{name=赣州, url=/ganzhou}
{name=贵港, url=/guigang}
{name=玉林, url=/guangxiyulin}
{name=甘孜州, url=/ganzi}
{name=广元, url=/guangyuan}
{name=广安, url=/guangan}
{name=甘南, url=/gannanzhou}
{name=固原, url=/guyuan}
{name=果洛, url=/guoluo}
{name=高雄, url=/kaohsiung}
